lat,lng
40.7,-74
51.3,0.5
52.2,0.1
45.9,-119.7
35.7,139.7
45.9,-119.7
48.5,34.6
43.6,-79.4
46.6,20.7
24.1,120.7
34,-118.4
55.7,37.6
35.6,139.8
23.5,121
32.1,118.8
57.8,40.9
55.7,37.6
50.4,30.5
55.7,37.6
43.6,-79.7
21.1,-86.9
25.8,-80.4
22.8,108.3
32.8,-79.9
23.5,121
39.1,-94.6
57.8,40.9
23.5,121
23.5,121
23,120.2
23.5,121
56,24
17.4,78.5
50.6,36.6
34.7,113.5
23.5,121
50.7,3.2
48.9,2.3
51.7,55.4
55.8,37.6
17.4,78.5
30.7,104.1
23.5,121
48.7,2.3
57,24.1
23.5,121
51.7,6.2
23.5,121
30.7,104.1
41.9,-87.7
34.3,108.9
25,121.5
50.3,127.5
50.6,36.6
55.1,36.6
40.2,44.5
57.8,40.9
55.7,37.6
34,-118.4
41,29
23.5,121
55.7,37.6
50.6,36.6
-43,147.3
25.3,55.3
23.5,121
50.4,30.5
50.6,36.6
25.1,121.7
39.9,115.3
56.9,35.9
22.6,120.4
24.1,120.7
25,121.3
48.5,35
49.8,30.1
23,120.2
55.8,37.6
34.8,113.7
21,105.9
1,32
47.2,27.6
53.5,49.3
30.3,-97.7
23,120.2
55.7,37.6
23.5,121
50.4,30.5
55.8,37.6
50.6,36.6
23,120.2
56.3,114.9
48,37.8
38,23.7
16.3,-61.6
43.7,-79.5
37.5,127
51.2,58.3
51.8,55.1
50.6,36.6
34.1,-118.3
57.8,40.9
25,121.5
23.5,121
23.1,113.3
23.5,121
45.9,-119.7
55.7,37.6
48.9,2.3
37.5,127
53.1,36.2
24.8,121
55.2,61.4
51.8,55.1
51.7,55.4
53.7,91.4
48.9,2.3
55.7,37.6
45,41.1
34.7,113.5
-22.8,-43.2
33.4,112.4
50.4,30.5
51.3,9.5
39.1,117.2
51.7,55.4
50.6,36.6
51.7,55.4
54.2,37.6
23.5,121
40.5,-74.2
23.5,121
34.7,113.5
30.3,120.2
51.2,58.3
23.5,121
28.6,77.2
36.8,127
34.8,113.7
37.8,128.9
53,36.1
26.1,119.3
55.7,37.6
23.5,121
24.9,118.6
51.2,58.3
51.7,55.4
23,120.2
34.8,113.7
